image_url,type,description,model_no
http://www.coloratelierpaint.com/cdn/shop/files/Tadelakt_Stone_White_ea0d9bed-e633-4968-a159-7001007f1e9c.jpg?v=1747186065,Plaster,"Color Atelier Tadelakt is designed for use in wet areas like showers, tub surrounds, and backsplashes. It can also be used for decorative dry area applications, and outdoors. Tadelakt is an ancient lime plaster finish known for its beauty and durability.",Tadelakt Shower Plaster
https://h6a8m2f3.delivery.rocketcdn.me/wp-content/uploads/2023/06/DEW340.jpg,Paint Color,"Whisper Paint Color DEW340 is one of the most popular bright, warm whites. Suitable as a wall, trim, or accent color inside or outside the home.",DEW340
http://www.coloratelierpaint.com/cdn/shop/files/Tadelakt_Stone_White_ea0d9bed-e633-4968-a159-7001007f1e9c.jpg?v=1747186065,Tadelakt Shower Plaster,"Color Atelier Tadelakt is designed for use in wet areas like showers, tub surrounds, and backsplashes. It can also be used for decorative dry area applications, and outdoors. Tadelakt, an ancient lime plaster finish, dates back to Romans, originated in Morocco. For millennia, it has been appreciated for its beauty, and function. Its burnished smooth, waxed, and water repellent finish results in seamless, elegant, and durable applications.",Tadelakt Shower Plaster
https://h6a8m2f3.delivery.rocketcdn.me/wp-content/uploads/2023/09/DEW340.jpg.webp,paint,"Whisper Paint Color is a bright, warm white from the Dunn-Edwards Whites collection, suitable for walls, trims, or accents.",DEW340
https://h6a8m2f3.delivery.rocketcdn.me/wp-content/uploads/2023/06/DEW340.jpg,paint color,"Whisper color is one of our most popular bright, warm whites and part of our Whites collection. Try Whisper as a wall, trim or accent color just about anywhere you want a shot of white inside or outside the home.",DEW340
https://cdn11.bigcommerce.com/s-4t2li/products/911/images/8409/1__26922.1746741771.500.750.jpg?c=2,Ladder Pull Handle,"Extra Length Ladder Style Back-to-Back Push-Pull Door Handle suitable for wood, glass, fiberglass, and metal doors with a matte black powder coated finish.",SH-PRO-304-LPH-EXL-B-24-1250
https://images.kwikset.com/is/image/Kwikset/kw_mi-v1-rdt-lv-priv-15-ex?wid=600&qlt=90&resMode=sharp,Lever,"Milan Round Lever | A round contemporary lever, Milan's minimal style offers design for those interested in a playful, yet elegant aesthetic.",883351640527
https://images.kwikset.com/is/image/Kwikset/kw_mi-v1-rdt-lv-pass-15-ex?wid=600&qlt=90&resMode=sharp,Lever,"Milan Round Lever | A round contemporary lever, Milan's minimal style offers design for those interested in a playful, yet elegant aesthetic.",883351640466
https://www.emtek.com/media/salsify/images/iy/iyscir9ixg-2024-02-28T144120Z-Square-Barrel-Heavy-Duty-Hinge_EM_KO.jpg,Hinge,"Emtek's popular Heavy Duty, Square Barrel Solid Brass Hinge is now available in a new, thinner leaf option. While similar in style, the new Square Barrel Hinge option has a more standardized thickness of 0.125"" vs the original 0.180"" and features a small step on the wing near the knuckle which provides a more pronounced square hinge profile when the door is closed. The hinge barrel also features no exposed screws for an aesthetically clean look, unlike some other options on the market. Sold in Pairs, includes screws.",Square Barrel Heavy Duty Hinge
https://www.caesarstoneus.com/wp-content/uploads/2021/01/1141_Pure-White_1141_CU_50x70cm_1920x890px.jpg,Quartz Countertop,"The perfect white surface, creating a super-smooth, immaculate canvas.",1141 Pure White
https://d46lux9bf6tj0.cloudfront.net/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IjIwMjFfSU1HX0hJX1JFU19JbmZsdWVuY2VyX3JpZ2h0c19yZXNpZGVudGlhbF9MYXVyZW5fQnJhZHNoYXdfRGVzaWduX3Bob3RvX0pvc2VwaF9CcmFkc2hhd19iYXRocm9vbV9zaG93ZXJfbmljaGVfYmFja3NwbGFzaF80eDRfMng2X3JvdW5kX2xpbmVyXzF4Nl9saW5lcl90cmltX3NhbmRfZHVuZV9mbG9vcl9vbHltcGljX2JyaWNrX0ZDNDAxOTY1XzYuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoxMjAwLCJoZWlnaHQiOjYzMCwicG9zaXRpb24iOiJjZW50ZXIiLCJmaXQiOiJjb3ZlciJ9LCJ0b0Zvcm1hdCI6ImpwZWciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJwcm9ncmVzc2l2ZSI6ZmFsc2UsIm9wdGltaXNlQ29kaW5nIjp0cnVlLCJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWV9fX0=?mtime=1629995879,ceramic tile,"Shop eco-friendly handmade tile, glass tile, subway tile, backsplash tile & brick tile. Easy free samples. Trade discounts.",Daisy 2x2
https://d46lux9bf6tj0.cloudfront.net/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IjIwMjFfSU1HX0hJX1JFU19JbmZsdWVuY2VyX3JpZ2h0c19yZXNpZGVudGlhbF9MYXVyZW5fQnJhZHNoYXdfRGVzaWduX3Bob3RvX0pvc2VwaF9CcmFkc2hhd19iYXRocm9vbV9zaG93ZXJfbmljaGVfYmFja3NwbGFzaF80eDRfMng2X3JvdW5kX2xpbmVyXzF4Nl9saW5lcl90cmltX3NhbmRfZHVuZV9mbG9vcl9vbHltcGljX2JyaWNrX0ZDNDAxOTY1XzYuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoxMjAwLCJoZWlnaHQiOjYzMCwicG9zaXRpb24iOiJjZW50ZXIiLCJmaXQiOiJjb3ZlciJ9LCJ0b0Zvcm1hdCI6ImpwZWciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJwcm9ncmVzc2l2ZSI6ZmFsc2UsIm9wdGltaXNlQ29kaW5nIjp0cnVlLCJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWV9fX0=?mtime=1629995879,tile,"Shop eco-friendly handmade tile, glass tile, subway tile, backsplash tile & brick tile. Easy free samples. Trade discounts.",
https://d46lux9bf6tj0.cloudfront.net/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IjIwMjFfSU1HX0hJX1JFU19JbmZsdWVuY2VyX3JpZ2h0c19yZXNpZGVudGlhbF9MYXVyZW5fQnJhZHNoYXdfRGVzaWduX3Bob3RvX0pvc2VwaF9CcmFkc2hhd19iYXRocm9vbV9zaG93ZXJfbmljaGVfYmFja3NwbGFzaF80eDRfMng2X3JvdW5kX2xpbmVyXzF4Nl9saW5lcl90cmltX3NhbmRfZHVuZV9mbG9vcl9vbHltcGljX2JyaWNrX0ZDNDAxOTY1XzYuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoxMjAwLCJoZWlnaHQiOjYzMCwicG9zaXRpb24iOiJjZW50ZXIiLCJmaXQiOiJjb3ZlciJ9LCJ0b0Zvcm1hdCI6ImpwZWciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJwcm9ncmVzc2l2ZSI6ZmFsc2UsIm9wdGltaXNlQ29kaW5nIjp0cnVlLCJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWV9fX0=?mtime=1629995879,Ceramic Tile,"Shop eco-friendly handmade tile, glass tile, subway tile, backsplash tile & brick tile. Easy free samples. Trade discounts.",Daisy 2x2
